         1          1        456
         1          1       3822
         1          1       4679
         1          1       5043
         1          1       5525
         1          1       6331
         1          1       6444
         1          1       6588
         1          1       7168
         1          1       7601
         1          1       7760
         1          1       8344
         2          2        592
         2          2       2960
         2          2       5148
         2          2       7269
         3          3       3186
         3          3       4583
         3          3       5195
         3          3       5365
         3          3       5797
         3          3       5904
         3          3       6003
         3          3       6221
         4          4        287
         4          4        419
         4          4        493
         4          4       1658
         4          4       3055
         4          4       3329
         4          4       4012
         4          4       4242
         4          4       4293
         4          4       5366
         4          4       5444
         4          4       5503
         4          4       7547
         4          4       7774
         4          4       8094
         4          4       8634
         4          4       8921
         4          4       8980
         4          4       9739
         5          5        868
         5          5       1162
         5          5       3050
         5          5       3768
         5          5       6280
         5          5       9615
         5          5       9658
         5          5       9929
         6          6        629
         6          6       1146
         6          6       1403
         6          6       1756
         6          6       4325
         6          6       6329
         6          6       7025
         6          6       8055
         6          6       9037
         7          7       1472
         7          7       1988
         7          7       2193
         7          7       3964
         7          7       4117
         7          7       4145
         7          7       4410
         7          7       4496
         7          7       5652
         7          7       8035
         7          7       8330
         7          7       8485
         8          8        565
         8          8        673
         8          8        947
         8          8       1578
         8          8       3227
         8          8       3663
         8          8       3801
         8          8       4453
         8          8       5699
         8          8       6298
         8          8       6895
         8          8       9688
         9          9        405
         9          9        601
         9          9        903
         9          9       3624
         9          9       3755
         9          9       4558
         9          9       7542
         9          9       8362
        10         10         63
        10         10        553
        10         10        604
        10         10       1233
        10         10       3545
        10         10       5558
        10         10       5797
        10         10       5909
        10         10       6264
        10         10       7459
        10         10       8616
        10         10       8637
        10         10       8779
        10         10       9517
        11         11         48
        11         11        325
        11         11       1058
        11         11       1113
        11         11       1386
        11         11       1876
        11         11       2065
        11         11       2275
        11         11       2680
        11         11       4597
        11         11       6105
        12         12       1131
        12         12       3467
        12         12       4299
        12         12       6005
        13         13       1318
        13         13       7371
        13         13       9808
        13         13       9823
        13         13       9839
        14         14        423
        14         14       1710
        14         14       1783
        14         14       1816
        14         14       2209
        14         14       2877
        14         14       3651
        14         14       4970
        14         14       5934
        14         14       7315
        14         14       7655
        14         14       7912
        14         14       8385
        14         14       8405
        15         15        231
        15         15       1128
        15         15       1147
        15         15       1284
        15         15       1464
        15         15       1783
        15         15       1909
        15         15       1952
        15         15       5851
        15         15       6014
        15         15       6018
        15         15       6031
        15         15       6741
        15         15       7274
        15         15       8097
        15         15       8381
        15         15       9157
        15         15       9360
        16         16       1216
        16         16       1300
        16         16       3651
        16         16       4053
        16         16       5721
        16         16       6145
        16         16       7619
        17         17         14
        17         17       1126
        17         17       2095
        17         17       5579
        17         17       6863
        17         17       7890
        17         17       7927
        17         17       9213
        18         18        338
        18         18        507
        18         18       1622
        18         18       2445
        18         18       2781
        18         18       3583
        18         18       3947
        18         18       4072
        18         18       4476
        18         18       5387
        18         18       5829
        18         18       6700
        19         19        123
        19         19        512
        19         19       4683
        19         19       7605
        19         19       8475
        19         19       9576
        19         19       9688
        20         20       3263
        20         20       4496
        20         20       4552
        20         20       6948
        20         20       7348
        20         20       9364
        21         21        206
        21         21       2608
        21         21       7878
        21         21       9742
        22         22         53
        22         22       1651
        22         22       2527
        22         22       3626
        22         22       4211
        22         22       6449
        22         22       7310
        22         22       7397
        22         22       9429
        22         22       9673
        23         23        289
        23         23       1253
        23         23       4012
        23         23       4899
        23         23       5753
        23         23       7295
        23         23       8020
        23         23       8719
        23         23       9034
        23         23       9126
        23         23       9853
        24         24        101
        24         24       1487
        24         24       1933
        24         24       2732
        24         24       2852
        24         24       4117
        24         24       4398
        24         24       4704
        24         24       4741
        24         24       5016
        24         24       6863
        24         24       8096
        24         24       8295
